City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,xiongzhou,25.1167,114.3,31.17,68,1,1.28,CN,1724638617
1,sayula de aleman,17.8667,-94.95,24.73,89,95,1.4,MX,1724638618
2,port-aux-francais,-49.35,70.2167,4.16,85,90,15.55,TF,1724638619
3,whitehorse,60.7161,-135.0538,14.43,67,75,7.72,CA,1724638487
4,sydney,-33.8679,151.2073,24.69,32,0,0.89,AU,1724638492
5,malindi,-3.2175,40.1191,23.85,84,76,4.56,KE,1724638623
6,karasuk,53.7377,78.0403,13.04,88,100,6.45,RU,1724638624
7,sao vicente,-23.9631,-46.3919,12.77,26,100,1.82,BR,1724638625
8,bang nam priao,13.8474,101.0531,28.59,78,98,2.03,TH,1724638626
9,kavaratti,10.5669,72.642,26.69,84,83,6.9,IN,1724638627
10,petropavlovsk-kamchatsky,53.0452,158.6483,24.33,29,0,5.0,RU,1724638628
11,puerto natales,-51.7236,-72.4875,2.67,97,100,0.13,CL,1724638630
12,nizhniy lomov,53.5304,43.6766,15.66,80,0,1.14,RU,1724638631
13,bodaybo,57.8506,114.1933,20.27,58,99,0.78,RU,1724638632
14,vilyuchinsk,52.9306,158.4028,25.15,58,0,1.98,RU,1724638633
15,touros,-5.1989,-35.4608,24.3,76,88,6.87,BR,1724638634
16,avarua,-21.2078,-159.775,22.03,64,75,10.29,CK,1724638635
17,i-n-salah,27.1935,2.4607,32.61,19,1,4.28,DZ,1724638636
18,tiksi,71.6872,128.8694,2.01,81,100,6.55,RU,1724638637
19,teni,10.0,77.4833,24.53,74,100,3.32,IN,1724638639
20,thompson,55.7435,-97.8558,22.09,56,40,9.26,CA,1724638640
21,callao,-12.0667,-77.15,18.18,88,75,5.66,PE,1724638425
22,port mathurin,-19.6833,63.4167,20.46,63,100,12.36,MU,1724638642
23,selfoss,63.9331,-20.9971,2.25,84,6,2.34,IS,1724638643
24,chibougamau,49.9168,-74.3659,15.79,94,75,1.54,CA,1724638638
25,edinburgh of the seven seas,-37.0676,-12.3116,11.93,80,79,9.02,SH,1724638645
26,dudinka,69.4058,86.1778,13.07,68,36,1.0,RU,1724638646
27,fale old settlement,-9.3852,-171.2468,28.23,77,5,8.74,TK,1724638648
28,college,64.8569,-147.8028,12.89,73,100,3.6,US,1724638649
29,waitangi,-43.9535,-176.5597,11.01,97,100,2.68,NZ,1724638650
30,hawaiian paradise park,19.5933,-154.9731,24.39,99,100,7.2,US,1724638651
31,yellowknife,62.456,-114.3525,17.45,60,75,1.79,CA,1724638652
32,mokhsogollokh,61.4681,128.9203,18.03,64,99,4.38,RU,1724638653
33,hermanus,-34.4187,19.2345,12.82,67,0,9.93,ZA,1724638654
34,cradock,-32.1642,25.6192,10.99,26,7,4.58,ZA,1724638656
35,praia da vitoria,38.7333,-27.0667,25.14,78,20,2.88,PT,1724638657
36,invercargill,-46.4,168.35,10.57,77,99,3.58,NZ,1724638658
37,jiuquan,39.7432,98.5174,22.03,58,85,3.39,CN,1724638659
38,talnakh,69.4865,88.3972,14.23,61,12,2.26,RU,1724638660
39,plettenberg bay,-34.0527,23.3716,14.71,38,43,2.81,ZA,1724638661
40,longyearbyen,78.2186,15.6401,6.91,87,75,2.06,SJ,1724638662
41,enewetak,11.3474,162.3373,28.63,74,24,6.3,MH,1724638663
42,kaliua,-5.0606,31.7936,18.35,47,23,2.9,TZ,1724638666
43,ivins,37.1686,-113.6794,28.62,15,0,1.79,US,1724638667
44,astaneh-ye ashrafiyeh,37.2596,49.9444,22.78,82,1,2.48,IR,1724638513
45,anadyr,64.75,177.4833,7.28,70,75,5.0,RU,1724638669
46,udachny,66.4167,112.4,12.36,63,100,2.93,RU,1724638670
47,ambatofinandrahana,-20.55,46.8,6.75,91,4,1.99,MG,1724638671
48,rundu,-17.9333,19.7667,14.3,26,0,2.14,NA,1724638672
49,adamstown,-25.066,-130.1015,20.46,85,100,9.37,PN,1724638674
50,jamestown,42.097,-79.2353,20.8,79,0,0.45,US,1724638675
51,ushuaia,-54.8,-68.3,4.81,81,0,1.54,AR,1724638676
52,revda,56.801,59.9303,11.0,89,100,1.31,RU,1724638677
53,loen,7.7601,168.2307,28.34,77,100,3.24,MH,1724638678
54,margaret river,-33.95,115.0667,16.3,84,100,9.26,AU,1724638679
55,west island,-12.1568,96.8225,27.99,78,75,3.6,CC,1724638680
56,kingston,17.997,-76.7936,29.53,74,20,2.06,JM,1724638681
57,xapuri,-10.6517,-68.5044,22.16,41,0,2.8,BR,1724638684
58,wailua homesteads,22.0669,-159.378,27.44,72,100,8.75,US,1724638685
59,isafjordur,66.0755,-23.124,3.14,83,72,1.1,IS,1724638686
